,current_stock,new_stock,demand,reward,capacity,storage_cost,selling_price,manufacturing_price,t,total_production_cost,total_revenue_generated
0,0.0,0.0,472.67851925036143,0.0,1000.0,1000.0,100.0,70.0,366.0,0.0,0.0
1,100.0,100.0,526.722792729261,-8000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,0.0
2,100.0,100.0,545.6016972409024,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
3,100.0,100.0,446.4759386916726,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
4,100.0,100.0,481.5864671102084,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
5,100.0,100.0,483.60761788746413,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
6,100.0,100.0,501.2607151566635,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
7,100.0,100.0,519.9190885716631,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
8,100.0,100.0,538.0051940145448,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
9,100.0,100.0,556.6957579434716,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
10,100.0,100.0,457.3085292928357,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
11,100.0,100.0,492.0886854140585,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
12,100.0,100.0,493.71637470348304,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
13,100.0,100.0,510.9201510267561,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
14,100.0,100.0,529.0817878180399,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
15,100.0,100.0,546.6331686007396,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
16,100.0,100.0,564.7611804950327,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
17,100.0,100.0,464.7942018744299,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
18,100.0,100.0,498.9882381365409,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
19,100.0,100.0,500.0341956677714,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
20,100.0,100.0,516.6710563249849,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
21,100.0,100.0,534.2904470844792,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
22,100.0,100.0,551.333307761815,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
23,100.0,100.0,568.9945887319416,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
24,100.0,100.0,468.60957427999375,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
25,100.0,100.0,502.4398889734686,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
26,100.0,100.0,503.18067949006877,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
27,100.0,100.0,519.5737354398678,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
28,100.0,100.0,537.0120439292367,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
29,100.0,100.0,553.9364797633016,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
30,100.0,100.0,571.5405611880138,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
31,100.0,100.0,471.15686383170396,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
32,100.0,100.0,505.0431464509654,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
33,100.0,100.0,505.88967645747516,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
34,100.0,100.0,522.4325137847624,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
35,100.0,100.0,540.0582425177387,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
36,100.0,100.0,557.200846678137,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
37,100.0,100.0,575.0466545667572,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
38,100.0,100.0,474.92093898540935,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
39,100.0,100.0,509.07422193394063,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
40,100.0,100.0,510.1897672113245,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
41,100.0,100.0,526.9970155234396,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
42,100.0,100.0,544.8764482447832,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
43,100.0,100.0,562.2565737152541,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
44,100.0,100.0,580.3189587566917,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
45,100.0,100.0,480.3848918431763,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
46,100.0,100.0,514.7017264324556,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
47,100.0,100.0,515.9503885750444,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
48,100.0,100.0,532.8588047970472,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
49,100.0,100.0,550.8067384203194,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
50,100.0,100.0,568.2227307323736,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
51,100.0,100.0,586.2890726376919,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
52,100.0,100.0,486.32839642450347,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
53,100.0,100.0,520.5899395227801,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
54,100.0,100.0,521.7569677219368,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
55,100.0,100.0,538.5601171033755,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
56,100.0,100.0,556.3821458503486,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
57,100.0,100.0,573.6547950256698,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
58,100.0,100.0,591.5636861767903,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
59,100.0,100.0,491.4348471477087,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
60,100.0,100.0,525.5209191554197,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
61,100.0,100.0,526.5085332307827,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
62,100.0,100.0,543.1316153198812,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
63,100.0,100.0,560.7761107288211,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
64,100.0,100.0,577.8768260036223,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
65,100.0,100.0,595.6223146911508,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
66,100.0,100.0,495.34139659720387,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
67,100.0,100.0,529.2893615862865,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
68,100.0,100.0,530.1553438818892,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
69,100.0,100.0,546.6756239956447,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
70,100.0,100.0,564.2383468944314,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
71,100.0,100.0,581.2803526410019,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
72,100.0,100.0,598.9920444024468,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
73,100.0,100.0,498.70388230445025,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
74,100.0,100.0,532.6725535234165,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
75,100.0,100.0,533.5883044587516,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
76,100.0,100.0,550.1881925845946,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
77,100.0,100.0,567.860747641878,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
78,100.0,100.0,585.0427400431923,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
79,100.0,100.0,602.9239835529011,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
80,100.0,100.0,502.8337633658191,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
81,100.0,100.0,537.0269430185068,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
82,100.0,100.0,538.1912392924256,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
83,100.0,100.0,555.0604261927955,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
84,100.0,100.0,573.0189611817517,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
85,100.0,100.0,590.498734927656,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
86,100.0,100.0,608.6838747782285,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
87,100.0,100.0,508.89719580890056,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
88,100.0,100.0,543.3863550747167,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
89,100.0,100.0,544.8311997492104,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
90,100.0,100.0,561.9570709970543,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
91,100.0,100.0,580.1395566576452,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
92,100.0,100.0,597.8013929951906,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
93,100.0,100.0,616.1174437696317,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
94,100.0,100.0,516.4013475930274,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
95,100.0,100.0,550.8918853999085,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
96,100.0,100.0,552.2605540842884,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
97,100.0,100.0,569.2251027735297,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
98,100.0,100.0,587.1545188273573,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
99,100.0,100.0,604.4661573741623,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
100,100.0,100.0,622.3309359060601,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
101,100.0,100.0,522.0601780847004,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
102,100.0,100.0,555.8921518844228,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
103,100.0,100.0,556.4997817593447,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
104,100.0,100.0,572.6042854762045,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
105,100.0,100.0,589.5802176216225,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
106,100.0,100.0,605.8526094479365,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
107,100.0,100.0,622.6021235430355,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
108,100.0,100.0,521.1518056761671,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
109,100.0,100.0,553.7534785175865,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
110,100.0,100.0,553.0952579184976,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
111,100.0,100.0,567.914944855887,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
112,100.0,100.0,583.6047789837357,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
113,100.0,100.0,598.6082487899062,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
114,100.0,100.0,614.1248834973832,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
115,100.0,100.0,511.4966168922019,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
116,100.0,100.0,542.9937766089156,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
117,100.0,100.0,541.3221891854282,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
118,100.0,100.0,555.2361641645656,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
119,100.0,100.0,570.1428536473378,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
120,100.0,100.0,584.4986927591234,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
121,100.0,100.0,599.5138563445732,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
122,100.0,100.0,496.5383316752015,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
123,100.0,100.0,527.8476694340067,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
124,100.0,100.0,526.1499108993988,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
125,100.0,100.0,540.1984608412597,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
126,100.0,100.0,555.3964071814141,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
127,100.0,100.0,570.1929957825738,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
128,100.0,100.0,585.788196685973,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
129,100.0,100.0,483.51896063970577,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
130,100.0,100.0,515.6452252448781,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
131,100.0,100.0,514.8571637558562,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
132,100.0,100.0,529.8884392854961,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
133,100.0,100.0,546.1209569840892,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
134,100.0,100.0,561.981812530415,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
135,100.0,100.0,578.6483619317239,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
136,100.0,100.0,477.43499913186787,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
137,100.0,100.0,510.57968771183374,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
138,100.0,100.0,510.7517263039072,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
139,100.0,100.0,526.6654970618332,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
140,100.0,100.0,543.6856766988097,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
141,100.0,100.0,560.2245960905025,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
142,100.0,100.0,577.4476621905161,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
143,100.0,100.0,476.6604188806736,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
144,100.0,100.0,510.09528486830646,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
145,100.0,100.0,510.4194420184915,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
146,100.0,100.0,526.3486193727398,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
147,100.0,100.0,543.2522505634967,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
148,100.0,100.0,559.550691202559,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
149,100.0,100.0,576.420412955932,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
150,100.0,100.0,475.18075625597214,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
151,100.0,100.0,508.08028732187324,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
152,100.0,100.0,507.8042425072862,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
153,100.0,100.0,523.0878166815877,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
154,100.0,100.0,539.3207863566654,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
155,100.0,100.0,554.944168339272,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
156,100.0,100.0,571.1548456532803,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
157,100.0,100.0,469.29175814779353,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
158,100.0,100.0,501.62171892792423,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
159,100.0,100.0,500.8463546698536,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
160,100.0,100.0,515.7149407380123,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
161,100.0,100.0,531.628634769758,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
162,100.0,100.0,547.0368208493767,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
163,100.0,100.0,563.1415054029463,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
164,100.0,100.0,461.2833693655099,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
165,100.0,100.0,493.72754244686524,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
166,100.0,100.0,493.17059959746604,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
167,100.0,100.0,508.3535499312525,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
168,100.0,100.0,524.6663183636978,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
169,100.0,100.0,540.5444260137391,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
170,100.0,100.0,557.1738018789854,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
171,100.0,100.0,455.8773193916057,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
172,100.0,100.0,488.901110665204,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
173,100.0,100.0,488.92214380532903,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
174,100.0,100.0,504.6618174646758,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
175,100.0,100.0,521.4910559269895,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
176,100.0,100.0,537.8275933323072,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
177,100.0,100.0,554.8413621602363,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
178,100.0,100.0,453.84156268845817,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
179,100.0,100.0,487.06345033263557,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
180,100.0,100.0,487.1763117881703,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
181,100.0,100.0,502.89737154953514,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
182,100.0,100.0,519.5971017305764,2000.0,1000.0,1000.0,100.0,70.0,366.0,7000.0,10000.0
